City,Date,Level,Path
"Houston, Texas","2020/03/22","0.3497187581160688","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T183350_20200322T183850_12646_01_010302_20200322T191316.nc"
"Los Angelos, California","2020/03/22","0.47429722053493606","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T201350_20200322T201850_12647_01_010302_20200322T205420.nc"
"Houston, Texas","2020/03/22","0.37930314738332527","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200322T201350_20200322T201850_12647_01_010302_20200322T205420.nc"
"Paris, France","2020/03/23","0.4701685356849339","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T131350_20200323T131850_12657_01_010302_20200323T135505.nc"
"London, England","2020/03/23","0.9746384930622298","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T131350_20200323T131850_12657_01_010302_20200323T135505.nc"
"Houston, Texas","2020/03/23","0.46373885561479256","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T195350_20200323T195850_12661_01_010302_20200323T203501.nc"
"Chicago, Illinois","2020/03/23","1.8309558090550127","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"New York City, New York","2020/03/23","1.9355455442564562","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"Atlanta, Georgia","2020/03/23","1.4990053823566996","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181350_20200323T181850_12660_01_010302_20200323T185348.nc"
"Los Angelos, California","2020/03/23","0.3640105715021491","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T213850_20200323T214350_12662_01_010302_20200323T234446.nc"
"Chicago, Illinois","2020/03/23","2.0273157351766713","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T181850_20200323T182350_12660_01_010302_20200323T201544.nc"
"Paris, France","2020/03/23","0.39069279955583625","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T113350_20200323T113850_12656_01_010302_20200323T122354.nc"
"Berlin, Germany","2020/03/23","0.3576239350877586","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T113350_20200323T113850_12656_01_010302_20200323T122354.nc"
"London, England","2020/03/23","0.6982264512771508","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200323T113350_20200323T113850_12656_01_010302_20200323T122354.nc"
"Atlanta, Georgia","2020/03/24","0.3973145694544655","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T193350_20200324T193850_12675_01_010302_20200324T201506.nc"
"Houston, Texas","2020/03/24","0.37336096829676535","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T193350_20200324T193850_12675_01_010302_20200324T201506.nc"
"Los Angelos, California","2020/03/24","1.0568671332293889","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T211850_20200324T212350_12676_01_010302_20200324T220025.nc"
"Chicago, Illinois","2020/03/24","0.9600413213775028","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T193850_20200324T194350_12675_01_010302_20200324T213802.nc"
"Chicago, Illinois","2020/03/24","1.0801825410453603","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T175850_20200324T180350_12674_01_010302_20200324T195606.nc"
"New York City, New York","2020/03/24","1.1050360662920866","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T175850_20200324T180350_12674_01_010302_20200324T195606.nc"
"Paris, France","2020/03/24","0.6508052683784626","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T125350_20200324T125850_12671_01_010302_20200324T133842.nc"
"Berlin, Germany","2020/03/24","0.5176157828827854","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T125350_20200324T125850_12671_01_010302_20200324T133842.nc"
"London, England","2020/03/24","0.5505250719579635","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200324T125350_20200324T125850_12671_01_010302_20200324T133842.nc"
"New York City, New York","2020/03/28","1.8335539352847263","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T181850_20200328T182350_12731_01_010302_20200328T185836.nc"
"Atlanta, Georgia","2020/03/28","0.2575202406660537","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T181850_20200328T182350_12731_01_010302_20200328T185836.nc"
"Paris, France","2020/03/28","0.8306313975481316","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T113850_20200328T114350_12727_01_010302_20200328T122620.nc"
"Berlin, Germany","2020/03/28","0.5087952358735492","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T113850_20200328T114350_12727_01_010302_20200328T122620.nc"
"London, England","2020/03/28","0.33121047363238176","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T113850_20200328T114350_12727_01_010302_20200328T122620.nc"
"Paris, France","2020/03/28","0.8053553356148768","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T131850_20200328T132350_12728_01_010302_20200328T140310.nc"
"London, England","2020/03/28","0.2832505851984024","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T131850_20200328T132350_12728_01_010302_20200328T140310.nc"
"Los Angelos, California","2020/03/28","0.4895324927929323","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T214350_20200328T214850_12733_01_010302_20200328T222117.nc"
